,precision,recall,f1-score,support
Apple__Healthy,0.9972972972972973,0.9787798408488063,0.9879518072289156,377.0
Apple__Rotten,0.9928741092636579,0.9698375870069605,0.9812206572769953,431.0
Banana__Healthy,0.9967845659163987,1.0,0.998389694041868,310.0
Banana__Rotten,0.995085995085995,0.995085995085995,0.995085995085995,407.0
Bellpepper__Healthy,0.94,0.9690721649484536,0.9543147208121827,97.0
Bellpepper__Rotten,0.8571428571428571,0.8041237113402062,0.8297872340425532,97.0
Carrot__Healthy,0.8977272727272727,0.9404761904761905,0.9186046511627907,84.0
Carrot__Rotten,0.8421052631578947,0.8533333333333334,0.847682119205298,75.0
Cucumber__Healthy,0.9142857142857143,1.0,0.9552238805970149,96.0
Cucumber__Rotten,0.9278350515463918,0.967741935483871,0.9473684210526315,93.0
Grape__Healthy,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
Grape__Rotten,1.0,0.967741935483871,0.9836065573770492,31.0
Guava__Healthy,1.0,1.0,1.0,34.0
Guava__Rotten,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
Jujube__Healthy,0.9375,0.967741935483871,0.9523809523809523,31.0
Jujube__Rotten,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Mango__Healthy,0.9927272727272727,0.9963503649635036,0.994535519125683,274.0
Mango__Rotten,0.9791666666666666,0.9676470588235294,0.9733727810650887,340.0
Orange__Healthy,0.9967320261437909,0.9967320261437909,0.9967320261437909,306.0
Orange__Rotten,0.9970845481049563,0.9771428571428571,0.987012987012987,350.0
Pomegranate__Healthy,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
Pomegranate__Rotten,0.9714285714285714,1.0,0.9855072463768116,34.0
Potato__Healthy,0.9555555555555556,0.9555555555555556,0.9555555555555556,90.0
Potato__Rotten,0.813953488372093,0.9459459459459459,0.875,74.0
Strawberry__Healthy,0.9956331877729258,1.0,0.9978118161925602,228.0
Strawberry__Rotten,0.9917695473251029,0.9836734693877551,0.9877049180327869,245.0
Tomato__Healthy,0.9864864864864865,0.9358974358974359,0.9605263157894737,78.0
Tomato__Rotten,0.9397590361445783,0.975,0.9570552147239264,80.0
accuracy,0.9747325290234464,0.9747325290234464,0.9747325290234464,0.9747325290234464
macro avg,0.955855078344394,0.9640316794229816,0.9595331270500838,4393.0
weighted avg,0.9754691297748015,0.9747325290234464,0.9748735456350347,4393.0
