,precision,recall,f1-score,support
Apple__Healthy,0.9817232375979112,0.9973474801061007,0.9894736842105263,377.0
Apple__Rotten,0.9951923076923077,0.9605568445475638,0.9775678866587958,431.0
Banana__Healthy,0.9935483870967742,0.9935483870967742,0.9935483870967742,310.0
Banana__Rotten,1.0,0.995085995085995,0.9975369458128078,407.0
Bellpepper__Healthy,0.979381443298969,0.979381443298969,0.979381443298969,97.0
Bellpepper__Rotten,0.8207547169811321,0.8969072164948454,0.8571428571428571,97.0
Carrot__Healthy,0.9294117647058824,0.9404761904761905,0.9349112426035503,84.0
Carrot__Rotten,0.8271604938271605,0.8933333333333333,0.8589743589743589,75.0
Cucumber__Healthy,0.9795918367346939,1.0,0.9896907216494846,96.0
Cucumber__Rotten,0.9578947368421052,0.978494623655914,0.9680851063829787,93.0
Grape__Healthy,0.9210526315789473,1.0,0.958904109589041,35.0
Grape__Rotten,1.0,0.9354838709677419,0.9666666666666667,31.0
Guava__Healthy,0.9714285714285714,1.0,0.9855072463768116,34.0
Guava__Rotten,1.0,0.967741935483871,0.9836065573770492,31.0
Jujube__Healthy,1.0,1.0,1.0,31.0
Jujube__Rotten,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
Mango__Healthy,1.0,0.9781021897810219,0.988929889298893,274.0
Mango__Rotten,0.9938837920489296,0.9558823529411765,0.974512743628186,340.0
Orange__Healthy,0.9967213114754099,0.9934640522875817,0.9950900163666121,306.0
Orange__Rotten,0.9745042492917847,0.9828571428571429,0.9786628733997155,350.0
Pomegranate__Healthy,1.0,1.0,1.0,35.0
Pomegranate__Rotten,0.9444444444444444,1.0,0.9714285714285714,34.0
Potato__Healthy,0.9651162790697675,0.9222222222222223,0.9431818181818182,90.0
Potato__Rotten,0.8,0.918918918918919,0.8553459119496856,74.0
Strawberry__Healthy,0.9827586206896551,1.0,0.991304347826087,228.0
Strawberry__Rotten,0.9958677685950413,0.9836734693877551,0.9897330595482546,245.0
Tomato__Healthy,0.9743589743589743,0.9743589743589743,0.9743589743589743,78.0
Tomato__Rotten,0.961038961038961,0.925,0.9426751592356688,80.0
accuracy,0.975643068518097,0.975643068518097,0.975643068518097,0.975643068518097
macro avg,0.9611607569808605,0.9692679753560273,0.9647459730617787,4393.0
weighted avg,0.976839011652572,0.975643068518097,0.9759813674479408,4393.0
