,precision,recall,f1-score,support
Apple__Healthy,0.9920634920634921,0.9946949602122016,0.9933774834437086,377.0
Apple__Rotten,0.976905311778291,0.9814385150812065,0.9791666666666666,431.0
Banana__Healthy,0.9935483870967742,0.9935483870967742,0.9935483870967742,310.0
Banana__Rotten,0.9950617283950617,0.9901719901719902,0.9926108374384236,407.0
Bellpepper__Healthy,0.9504950495049505,0.9896907216494846,0.9696969696969697,97.0
Bellpepper__Rotten,0.7766990291262136,0.8247422680412371,0.8,97.0
Carrot__Healthy,0.9302325581395349,0.9523809523809523,0.9411764705882353,84.0
Carrot__Rotten,0.8918918918918919,0.88,0.8859060402684564,75.0
Cucumber__Healthy,0.9791666666666666,0.9791666666666666,0.9791666666666666,96.0
Cucumber__Rotten,0.9473684210526315,0.967741935483871,0.9574468085106383,93.0
Grape__Healthy,0.9459459459459459,1.0,0.9722222222222222,35.0
Grape__Rotten,1.0,0.9354838709677419,0.9666666666666667,31.0
Guava__Healthy,0.9714285714285714,1.0,0.9855072463768116,34.0
Guava__Rotten,1.0,0.9032258064516129,0.9491525423728814,31.0
Jujube__Healthy,0.967741935483871,0.967741935483871,0.967741935483871,31.0
Jujube__Rotten,0.90625,0.9666666666666667,0.9354838709677419,30.0
Mango__Healthy,0.982078853046595,1.0,0.9909584086799277,274.0
Mango__Rotten,0.9878787878787879,0.9588235294117647,0.9731343283582089,340.0
Orange__Healthy,0.9807692307692307,1.0,0.9902912621359223,306.0
Orange__Rotten,0.9827089337175793,0.9742857142857143,0.9784791965566715,350.0
Pomegranate__Healthy,0.8292682926829268,0.9714285714285714,0.8947368421052632,35.0
Pomegranate__Rotten,0.9333333333333333,0.8235294117647058,0.875,34.0
Potato__Healthy,0.8736842105263158,0.9222222222222223,0.8972972972972973,90.0
Potato__Rotten,0.875,0.8513513513513513,0.863013698630137,74.0
Strawberry__Healthy,1.0,0.9956140350877193,0.9978021978021978,228.0
Strawberry__Rotten,1.0,0.9591836734693877,0.9791666666666666,245.0
Tomato__Healthy,0.9512195121951219,1.0,0.975,78.0
Tomato__Rotten,0.9714285714285714,0.85,0.9066666666666666,80.0
accuracy,0.9704074664238561,0.9704074664238561,0.9704074664238561,0.9704074664238561
macro avg,0.9497203112197272,0.9511833280491327,0.9496577635487748,4393.0
weighted avg,0.9711184975321603,0.9704074664238561,0.9704667369264051,4393.0
